,Formula,Num_Runs,Run_Names,Avg_Score
6556,C37H57O13P,5,"bigmed, large, large, med, tiny",61.903999999999996
13796,C68H120O13S,5,"bigmed, large, large, med, tiny",68.886
1466,C18H28N6O6,5,"bigmed, large, large, med, tiny",72.364
2963,C24H39NO5,5,"bigmed, large, large, med, tiny",64.258
756,C14H28O3,5,"bigmed, large, large, med, tiny",73.684
10733,C51H99O8P,5,"bigmed, large, large, med, tiny",57.172000000000004
752,C14H28N6O5,5,"bigmed, large, large, large, med",65.068
6363,C36H61O9P,5,"bigmed, large, large, med, tiny",81.202
2168,C21H30N4O4,5,"bigmed, large, large, med, tiny",82.322
6430,C36H66O9,5,"bigmed, large, large, med, tiny",72.99199999999999
13564,C66H121O8P,5,"bigmed, large, large, med, tiny",75.112
14076,C6H4Cl2O2,5,"bigmed, large, large, med, tiny",62.05800000000001
5546,C33H54O5,5,"bigmed, large, large, med, tiny",76.062
14063,C6H15N,5,"bigmed, large, large, med, tiny",99.652
7092,C39H63NO6,5,"bigmed, large, large, med, tiny",67.46400000000001
881,C15H24O3,5,"bigmed, large, large, med, tiny",71.146
5119,C31H58O6,5,"bigmed, large, large, med, tiny",69.152
763,C14H29NO2,5,"bigmed, large, large, med, tiny",72.638
762,C14H29NO,5,"bigmed, large, large, med, tiny",86.316
11356,C54H87O9P,5,"bigmed, large, large, med, tiny",62.815999999999995
6346,C36H61N2O6P,5,"bigmed, large, large, med, tiny",60.85
1515,C18H32O3,5,"bigmed, large, large, med, tiny",75.25
11575,C55H85NO8,5,"bigmed, large, large, med, tiny",74.24600000000001
6987,C38H72O9,5,"bigmed, large, large, med, tiny",61.064
13312,C64H126NO7P,5,"bigmed, large, large, med, tiny",64.774
13313,C64H126NO8P,5,"bigmed, large, large, med, tiny",67.388
2988,C24H40O6,5,"bigmed, large, large, med, tiny",86.226
14041,C6H12O4,5,"bigmed, large, large, med, tiny",72.796
5267,C32H53NO6,5,"bigmed, large, large, med, tiny",68.862
2014,C20H37NO4S,5,"bigmed, large, large, med, tiny",75.00399999999999
6999,C38H73O7P,5,"large, large, large, med, tiny",62.644000000000005
773,C14H31NO,5,"bigmed, large, large, med, tiny",98.96000000000001
1472,C18H28O4,5,"bigmed, large, large, med, tiny",70.536
6461,C36H69NO2,5,"bigmed, large, large, med, tiny",88.15
2192,C21H32O3,5,"bigmed, large, large, med, tiny",66.612
761,C14H29N9O4,5,"bigmed, large, large, large, tiny",59.826
5641,C33H62NO11P,4,"bigmed, large, med, tiny",77.635
5839,C34H59NO5,4,"bigmed, large, med, tiny",61.4725
5470,C33H47NO6,4,"bigmed, large, med, tiny",77.275
5908,C34H64O14,4,"bigmed, large, med, tiny",66.64500000000001
5914,C34H65NO11S,4,"bigmed, large, med, tiny",86.565
5573,C33H56O9,4,"bigmed, large, med, tiny",61.785000000000004
5493,C33H50O13,4,"bigmed, large, med, tiny",69.3775
5883,C34H62O11,4,"bigmed, large, med, tiny",60.480000000000004
5478,C33H48O8,4,"bigmed, large, med, tiny",54.3725
5884,C34H62O11S,4,"bigmed, large, med, tiny",87.63499999999999
5480,C33H49NO5,4,"bigmed, large, med, tiny",59.7225
5567,C33H56O13,4,"bigmed, large, med, tiny",65.865
4786,C30H53NO9S,4,"bigmed, large, med, tiny",73.3525
5898,C34H63O8P,4,"bigmed, large, med, tiny",77.955
5612,C33H59NO4,4,"bigmed, large, med, tiny",64.05499999999999
4797,C30H54NO7P,4,"bigmed, large, med, tiny",72.785
5494,C33H50O14,4,"bigmed, large, med, tiny",72.0175
5589,C33H58NO10P,4,"large, large, med, tiny",72.9325
5495,C33H50O2,4,"bigmed, large, med, tiny",58.77
5901,C34H64N4O4,4,"bigmed, large, med, tiny",60.295
5530,C33H53NO9,4,"bigmed, large, med, tiny",64.5875
5535,C33H53O7P,4,"bigmed, large, med, tiny",63.2
5650,C33H62O3,4,"bigmed, large, med, tiny",64.8975
5797,C34H56NO7P,4,"bigmed, large, med, tiny",60.205
5428,C32H65NO3,4,"bigmed, large, med, tiny",87.7325
5041,C31H54NO13P,4,"bigmed, large, med, tiny",69.8
5278,C32H54N2O,4,"bigmed, large, med, tiny",65.0075
5268,C32H53NO7,4,"bigmed, large, med, tiny",56.34
5023,C31H53NO10S,4,"bigmed, large, med, tiny",72.7375
5037,C31H53O9P,4,"bigmed, large, med, tiny",56.73
5241,C32H50O3,4,"bigmed, large, med, tiny",73.09
5215,C32H48NO10P,4,"bigmed, large, med, tiny",85.065
4779,C30H53N2O6P,4,"bigmed, large, med, tiny",70.945
5171,C31H65N2O6P,4,"bigmed, large, med, tiny",71.85
5040,C31H54NO10P,4,"bigmed, large, med, tiny",65.6175
5158,C31H62NO6P,4,"bigmed, large, med, tiny",77.1425
5042,C31H54NO4,4,"bigmed, large, med, tiny",70.505
5021,C31H52O9,4,"bigmed, large, large, large",64.41
5123,C31H59NO6,4,"bigmed, large, med, tiny",70.5125
5705,C34H40N4O4,4,"bigmed, large, med, tiny",72.0925
5052,C31H54O8,4,"bigmed, large, med, tiny",62.425
5057,C31H55NO14,4,"bigmed, large, med, tiny",65.3825
5060,C31H55NO5S,4,"bigmed, large, med, tiny",53.155
5118,C31H58O5,4,"large, large, med, tiny",57.475
5108,C31H58NO10P,4,"bigmed, large, med, tiny",87.04
5071,C31H55O7P,4,"bigmed, large, med, tiny",66.4275
5101,C31H57NO9,4,"large, large, med, tiny",67.03
5091,C31H57N3O3,4,"bigmed, large, large, tiny",55.355000000000004
5281,C32H54NO6P,4,"bigmed, large, med, tiny",69.8425
5015,C31H52O21P4,4,"bigmed, large, med, tiny",59.6425
4861,C30H58O4S,4,"bigmed, large, med, tiny",98.6125
4898,C31H40O7,4,"bigmed, large, med, tiny",70.6875
5405,C32H63N3O4,4,"bigmed, large, med, tiny",68.6425
5401,C32H62O3,4,"bigmed, large, med, tiny",87.1825
5822,C34H57O7P,4,"bigmed, large, med, tiny",64.2525
4868,C30H59NO3,4,"bigmed, large, med, tiny",57.25
5400,C32H62O2,4,"bigmed, large, med, tiny",68.7025
5659,C33H63NO5,4,"bigmed, large, med, tiny",60.834999999999994
5379,C32H61NO11S,4,"bigmed, large, med, tiny",64.12
4890,C30H62O10,4,"bigmed, large, med, tiny",82.4275
5363,C32H59O7P,4,"bigmed, large, med, tiny",79.9
