Formula,Runs,Avg_Mass,Avg_RT,Avg_Score,Occurrence_Count,Run_Names,Num_Runs
C49H93O9P,"['bigmed', 'large', 'med', 'tiny']",856.6521749999999,16.438000000000002,54.57,4,"bigmed, large, med, tiny",4
C49H93O7P,"['bigmed', 'large', 'med', 'tiny']",824.6671,13.35875,69.6825,4,"bigmed, large, med, tiny",4
C49H91O11P,"['bigmed', 'large', 'med', 'tiny']",886.62285,19.24975,66.485,4,"bigmed, large, med, tiny",4
C49H90O10,"['bigmed', 'large', 'large', 'med']",838.65345,15.756,58.457499999999996,4,"bigmed, large, large, med",4
C49H87O8P,"['bigmed', 'large', 'large', 'tiny']",834.6107999999999,16.852,53.879999999999995,4,"bigmed, large, large, tiny",4
C49H85NO12S,"['bigmed', 'large', 'med', 'tiny']",911.58,15.288,55.035,4,"bigmed, large, med, tiny",4
C51H82NO9P,"['bigmed', 'large', 'med', 'tiny']",883.575525,14.501999999999999,60.7375,4,"bigmed, large, med, tiny",4
C51H85NO6,"['bigmed', 'large', 'med', 'tiny']",807.6404749999999,15.85875,63.465,4,"bigmed, large, med, tiny",4
C55H107NO4,"['bigmed', 'large', 'med', 'tiny']",845.821,14.885250000000001,55.75,4,"bigmed, large, med, tiny",4
C51H87NO5,"['bigmed', 'large', 'med', 'tiny']",793.656275,14.119,59.0,4,"bigmed, large, med, tiny",4
C54H97NO11S,"['bigmed', 'large', 'med', 'tiny']",967.676875,16.5415,71.41,4,"bigmed, large, med, tiny",4
C54H95NO7,"['bigmed', 'large', 'med', 'tiny']",869.705825,18.4585,68.1375,4,"bigmed, large, med, tiny",4
C54H89NO6S,"['bigmed', 'large', 'med', 'tiny']",879.64005,16.55375,65.475,4,"bigmed, large, med, tiny",4
C54H87NO6,"['bigmed', 'large', 'med', 'tiny']",845.65435,13.105,55.2625,4,"bigmed, large, med, tiny",4
C54H84O11,"['bigmed', 'large', 'med', 'tiny']",908.60455,19.47075,90.5475,4,"bigmed, large, med, tiny",4
C53H89O15P,"['bigmed', 'large', 'med', 'tiny']",996.5887250000001,13.64475,54.7625,4,"bigmed, large, med, tiny",4
C53H88NO11P,"['bigmed', 'large', 'med', 'tiny']",945.6037,16.51575,61.5875,4,"bigmed, large, med, tiny",4
C53H86O14,"['bigmed', 'large', 'med', 'tiny']",946.603475,15.995750000000001,60.347500000000004,4,"bigmed, large, med, tiny",4
C53H82O5,"['bigmed', 'large', 'med', 'tiny']",798.613925,16.113,63.285,4,"bigmed, large, med, tiny",4
C53H82O12S,"['bigmed', 'large', 'med', 'tiny']",942.5589749999999,11.65,64.295,4,"bigmed, large, med, tiny",4
C53H82O11,"['bigmed', 'large', 'med', 'tiny']",894.582825,12.238999999999999,56.5025,4,"bigmed, large, med, tiny",4
C53H81NO10,"['bigmed', 'large', 'med', 'tiny']",891.578275,19.02225,65.595,4,"bigmed, large, med, tiny",4
C52H93NO11S,"['bigmed', 'large', 'med', 'tiny']",939.645175,16.522,83.3675,4,"bigmed, large, med, tiny",4
C52H92O14,"['bigmed', 'large', 'med', 'tiny']",940.649175,16.5285,67.295,4,"bigmed, large, med, tiny",4
C52H86O11,"['bigmed', 'large', 'med', 'tiny']",886.6225499999999,19.47075,76.89,4,"bigmed, large, med, tiny",4
C52H78O10,"['bigmed', 'large', 'med', 'tiny']",862.5579749999999,13.377500000000001,61.5,4,"bigmed, large, med, tiny",4
C51H99O7P,"['bigmed', 'large', 'med', 'tiny']",854.7126499999999,16.57425,61.0575,4,"bigmed, large, med, tiny",4
C51H98NO8P,"['bigmed', 'large', 'med', 'tiny']",883.7029,15.42475,57.332499999999996,4,"bigmed, large, med, tiny",4
