,Cpd,Formula,RT,Mass,CAS_ID,Source,Score,Algorithm,RunName
177,650,C5H6O2,0.409,98.0363,,FBF,83.16,FBF,tiny
178,6187,C38H73NO5,18.291,623.5478,,FBF,82.84,FBF,tiny
179,7340,C26H46O6S,4.515,486.3001,,FBF,82.65,FBF,tiny
180,6300,C44H76NO6P,0.383,745.544,,FBF,82.52,FBF,tiny
181,5360,C14H21N5O4,6.802,323.1591,,FBF,82.47,FBF,tiny
182,1376,C35H68O5,6.283,568.5093,,FBF,82.46,FBF,tiny
183,402,C12H22O12,10.259,358.111,,FBF,82.31,FBF,tiny
184,7279,C22H38O7S,3.085,446.2337,,FBF,82.18,FBF,tiny
185,4802,C52H92NO11P,13.405,937.6428,,FBF,82.17,FBF,tiny
186,646,C7H10O2,2.409,126.0676,,FBF,81.68,FBF,tiny
187,436,C20H34O6,8.57,370.2333,,FBF,81.64,FBF,tiny
188,6824,C19H41N2O5P,12.131,408.2765,,FBF,81.58,FBF,tiny
189,4201,C59H117O10P,12.963,1016.8409,,FBF,81.29,FBF,tiny
190,1804,C40H62O10,6.647,702.4344,,FBF,81.19,FBF,tiny
191,5725,C6H16N6,5.503,172.1426,,FBF,81.09,FBF,tiny
192,5215,C7H11NO5,3.397,189.0646,,FBF,81.04,FBF,tiny
193,6324,C65H117NO3,18.524,959.9027,,FBF,80.95,FBF,tiny
194,767,C10H19NO3,1.656,201.1363,,FBF,80.93,FBF,tiny
195,251,C8H6O5,0.435,182.0209,,FBF,80.84,FBF,tiny
196,5909,C7H14S2,1.396,162.0525,,FBF,80.74,FBF,tiny
197,3013,C27H46O10,5.192,530.3104,,FBF,80.73,FBF,tiny
198,445,C8H17NO2,0.383,159.1273,,FBF,80.42,FBF,tiny
199,5673,C17H25N3O7,7.816,383.1728,,FBF,80.42,FBF,tiny
