,Cpd,Formula,RT,Mass,CAS_ID,Source,Score,Algorithm
479,6542,C15H20O5,7.945,280.1313,,FBF,98.42,FBF
480,481,C11H23NO2,0.384,201.173,,FBF,98.38,FBF
481,679,C11H20O2,0.384,184.1464,,FBF,98.38,FBF
482,8343,C27H38O,15.977,378.2927,,FBF,98.37,FBF
483,1460,C8H14,13.846,110.1091,,FBF,98.3,FBF
487,248,C21H24O8,7.244,404.1471,,FBF,98.16,FBF
488,5954,C14H25N5O7,2.67,375.176,,FBF,98.13,FBF
492,465,C16H26O5,1.787,298.1774,,FBF,98.05,FBF
494,179,C12H13NO2S,6.776,235.0667,,FBF,98.01,FBF
498,6543,C18H28O11,7.945,420.163,,FBF,97.72,FBF
499,7070,C22H37NO8,3.397,443.2523,,FBF,97.7,FBF
500,223,C13H10O,7.711,182.0731,,FBF,97.65,FBF
501,817,C13H25NO3,13.352,243.1833,,FBF,97.65,FBF
502,653,C13H22O3,13.352,226.1568,,FBF,97.65,FBF
504,2422,C10H20O4,5.815,204.1365,,FBF,97.63,FBF
505,5941,C12H24N6O6,2.073,348.1761,,FBF,97.48,FBF
506,5858,C12H21N5O6,2.073,331.1496,,FBF,97.48,FBF
507,1064,C25H47NO4,7.504,425.3497,,FBF,97.38,FBF
508,1024,C25H35NO3,7.036,397.2609,,FBF,97.38,FBF
509,360,C10H8O3,7.114,176.0469,,FBF,97.35,FBF
510,8296,C27H43NO2,14.339,413.3301,,FBF,97.35,FBF
511,8309,C23H28O3,7.062,352.2041,,FBF,97.34,FBF
512,6508,C22H24O5,7.296,368.1621,,FBF,97.13,FBF
514,59,C9H17N,0.358,139.1357,,FBF,96.86,FBF
518,6830,C26H53NO4,17.536,443.3973,,FBF,96.6,FBF
521,5888,C16H32N10O5,3.267,444.2562,,FBF,96.54,FBF
522,775,C9H14O,5.321,138.1044,,FBF,96.49,FBF
523,6559,C21H28O11,9.063,456.1629,,FBF,96.46,FBF
524,853,C25H47NO,9.271,377.3651,,FBF,96.46,FBF
525,5821,C12H16N6O3,8.335,292.1291,,FBF,96.43,FBF
526,5607,C12H13N5O3,8.335,275.1024,,FBF,96.43,FBF
527,4910,C42H80O13P2,4.801,854.5089,,FBF,96.4,FBF
528,557,C22H42O2,9.271,338.3186,,FBF,96.38,FBF
529,1146,C22H45NO2,9.245,355.345,,FBF,96.38,FBF
530,7693,C25H42O6,3.397,438.2969,,FBF,96.31,FBF
531,400,C16H27NO11,7.296,409.1576,,FBF,96.27,FBF
532,564,C10H20O3,10.909,188.1409,,FBF,96.26,FBF
537,6397,C20H22N7O6,9.063,456.1631,,FBF,96.07,FBF
538,845,C22H45NO,17.12,339.3493,,FBF,95.93,FBF
539,7629,C24H33NO7,7.27,447.225,,FBF,95.77,FBF
541,5978,C15H24N6O5,7.53,368.1812,,FBF,95.72,FBF
